"registro","bridge5m","bridge20m","rasa5m","rasa20m","laje5m","laje20m"
"1269",23.064,21.891,22.106,15.27,22.489,22.13
"1270",23.4,21.891,22.178,15.748,22.513,22.154
"1271",23.497,21.891,22.178,15.915,22.8,22.154
"1272",23.689,21.867,21.891,15.891,22.896,22.154
"1273",23.761,21.915,21.461,16.487,22.729,22.274
"1274",23.737,21.915,21.199,15.008,22.705,22.011
"1275",23.881,21.915,21.199,15.748,22.896,22.25
"1276",23.497,21.963,21.127,15.724,22.705,21.056
"1277",23.04,22.034,20.936,15.605,22.25,18.985
"1278",23.04,22.13,21.032,15.39,21.939,19.27
"1279",22.633,22.13,21.127,15.342,21.103,17.962
"1280",22.369,21.843,21.056,15.055,22.034,18.343
"1281",22.824,22.082,21.056,14.888,21.795,18.319
"1282",23.448,22.106,21.056,14.768,22.729,19.698
"1283",23.256,22.178,21.246,14.601,22.896,20.913
"1284",23.4,22.13,21.318,14.768,22.729,20.317
"1285",23.4,22.082,20.793,15.031,22.537,17.724
"1286",23.16,22.106,20.531,15.342,22.609,17.962
"1287",23.256,21.056,20.555,15.438,23.064,18.985
"1288",23.809,21.175,20.436,15.533,22.896,19.603
"1289",24.05,21.079,20.126,15.509,22.729,17.701
"1290",22.753,20.055,19.841,15.557,21.772,17.439
"1291",22.274,19.27,19.008,15.557,21.939,16.987
"1292",22.8,19.413,19.365,15.772,20.77,17.32
"1293",23.28,19.936,19.413,15.652,22.154,18.343
"1294",23.208,20.198,19.413,15.485,21.27,18.366
"1295",23.689,20.317,19.436,15.509,23.064,18.889
"1296",23.905,20.817,19.484,15.676,23.328,20.984
"1297",23.93,20.889,19.508,15.652,23.4,17.891
"1298",23.978,21.127,19.27,16.034,23.424,17.296
"1299",23.472,20.841,19.341,16.129,22.8,17.701
"1300",23.785,20.365,18.961,16.058,22.609,19.08
"1301",23.785,20.246,18.628,15.652,22.896,16.844
"1302",23.424,19.579,18.699,15.915,18.39,15.986
"1303",22.321,19.008,18.176,15.605,19.056,15.891
"1304",22.226,18.176,18.224,15.772,19.318,15.963
"1305",22.274,17.748,18.414,15.891,20.079,16.606
"1306",23.593,18.557,18.604,15.748,21.891,17.463
"1307",23.905,18.533,18.105,15.629,20.77,17.153
"1308",23.713,18.747,18.152,15.414,21.437,18.818
"1309",23.857,17.677,17.938,15.175,21.7,16.487
"1310",22.992,17.843,18.747,15.175,22.513,16.296
"1311",23.232,17.344,18.414,15.055,22.944,16.368
"1312",24.002,17.32,18.533,15.031,21.795,17.201
"1313",24.291,17.439,18.604,15.031,22.321,16.153
"1314",23.665,17.415,18.2,14.984,21.676,15.605
"1315",23.472,17.486,18.818,15.008,19.365,15.748
"1316",23.761,17.082,19.127,15.247,19.722,15.819
"1317",23.448,16.987,19.246,15.342,21.127,16.129
"1318",23.978,17.106,19.318,14.96,21.604,17.772
"1319",24.171,17.653,18.985,14.96,23.833,17.439
"1320",24.315,17.558,18.866,15.008,23.064,18.461
"1321",24.388,17.391,18.343,14.84,22.8,16.177
"1322",24.098,17.344,18.675,14.84,23.472,15.843
"1323",23.472,17.486,18.675,14.816,23.112,16.034
"1324",23.016,17.201,18.699,14.768,23.112,16.368
"1325",24.122,17.034,18.818,14.768,22.944,16.344
"1326",24.339,17.225,18.152,14.768,22.729,15.796
"1327",22.944,16.82,16.987,14.84,20.15,16.463
"1328",23.184,16.344,18.2,15.223,20.889,18.176
"1329",22.011,16.487,18.366,14.792,20.722,18.533
"1330",22.992,16.487,18.485,14.792,21.223,18.913
"1331",23.304,16.677,18.461,14.768,21.843,19.008
"1332",23.184,16.773,18.461,14.768,20.865,17.034
"1333",23.833,16.796,18.652,14.745,21.437,17.748
"1334",23.713,16.796,18.747,14.768,20.365,17.32
"1335",23.04,16.987,18.961,14.816,20.817,17.391
"1336",22.537,17.439,19.27,16.487,21.819,18.057
"1337",23.569,17.463,18.366,15.199,21.413,18.343
"1338",23.713,17.32,18.224,15.39,22.202,16.63
"1339",23.641,17.629,18.01,14.864,21.509,16.558
"1340",22.896,17.177,17.938,14.936,19.127,17.058
"1341",22.609,16.749,17.891,15.079,20.46,17.439
"1342",22.8,17.034,17.915,14.888,20.65,18.366
"1343",22.8,17.368,18.01,14.745,20.984,18.057
"1344",23.112,17.368,18.2,15.581,21.724,18.461
"1345",23.328,17.249,18.105,15.915,21.819,19.555
"1346",23.352,17.177,17.748,14.96,21.676,17.463
"1347",23.521,17.986,18.152,16.296,21.485,17.296
"1348",23.28,18.247,19.651,15.939,21.795,17.153
"1349",23.184,18.461,20.269,15.843,22.058,19.413
"1350",23.256,18.461,20.007,15.772,22.106,18.557
